"Q1.0K0.1","Q1.0K0.15","Q1.0K0.2","Q1.0K0.25","Q1.0K0.3","Q1.0K0.4","Q1.0K0.5","Q1.5K0.05","Q1.5K0.1","Q1.5K0.15","Q1.5K0.2","Q1.5K0.25","Q1.5K0.3","Q1.5K0.4","Q1.5K0.5","Q2.0K0.05","Q2.0K0.1","Q2.0K0.15","Q2.0K0.2","Q2.0K0.25","Q2.0K0.3","Q2.0K0.4","Q2.0K0.5","Q2.5K0.05","Q2.5K0.1","Q2.5K0.15","Q2.5K0.2","Q2.5K0.25","Q2.5K0.3","Q2.5K0.4","Q2.5K0.5","Q3.0K0.05","Q3.0K0.1","Q3.0K0.15","Q3.0K0.2","Q3.0K0.25","Q3.0K0.3","Q3.0K0.4","Q3.0K0.5","Q3.5K0.05","Q3.5K0.1","Q3.5K0.15","Q3.5K0.2","Q3.5K0.25","Q3.5K0.3","Q3.5K0.4","Q3.5K0.5","Q4.0K0.05","Q4.0K0.1","Q4.0K0.15","Q4.0K0.2","Q4.0K0.25","Q4.0K0.3","Q4.0K0.4","Q4.0K0.5"
284.502,284.499,284.501,284.493,284.503,284.47,284.528,284.498,284.5,284.512,284.534,284.52,284.489,284.499,284.474,284.519,284.518,284.528,284.513,284.509,284.523,284.49,284.507,284.536,284.545,284.545,284.525,284.528,284.534,284.556,284.514,284.565,284.537,284.526,284.542,284.542,284.519,284.537,284.547,284.544,284.541,284.54,284.561,284.568,284.539,284.548,284.588,284.57,284.567,284.567,284.577,284.576,284.561,284.577,284.599
284.535,284.537,284.535,284.526,284.54,284.489,284.551,284.535,284.534,284.549,284.563,284.555,284.527,284.536,284.513,284.558,284.551,284.565,284.551,284.545,284.563,284.508,284.541,284.572,284.583,284.58,284.56,284.574,284.567,284.593,284.551,284.604,284.57,284.565,284.581,284.571,284.556,284.578,284.581,284.581,284.579,284.581,284.588,284.605,284.564,284.585,284.633,284.607,284.603,284.604,284.618,284.618,284.601,284.618,284.63
284.573,284.578,284.572,284.563,284.577,284.513,284.582,284.575,284.573,284.59,284.595,284.591,284.566,284.575,284.556,284.597,284.591,284.602,284.591,284.582,284.603,284.53,284.576,284.606,284.618,284.615,284.598,284.62,284.599,284.632,284.593,284.641,284.612,284.611,284.621,284.603,284.597,284.62,284.62,284.62,284.617,284.625,284.624,284.645,284.596,284.626,284.686,284.649,284.638,284.65,284.66,284.659,284.645,284.659,284.664
284.61,284.621,284.605,284.597,284.616,284.545,284.615,284.615,284.613,284.627,284.629,284.626,284.603,284.615,284.597,284.634,284.634,284.638,284.629,284.622,284.644,284.55,284.615,284.641,284.659,284.652,284.638,284.663,284.633,284.669,284.639,284.68,284.653,284.655,284.659,284.639,284.638,284.659,284.666,284.661,284.659,284.664,284.66,284.685,284.636,284.668,284.736,284.693,284.68,284.695,284.7,284.701,284.687,284.705,284.703
284.655,284.66,284.639,284.634,284.655,284.58,284.652,284.654,284.656,284.669,284.667,284.664,284.643,284.658,284.634,284.67,284.671,284.674,284.669,284.662,284.682,284.571,284.656,284.675,284.697,284.691,284.681,284.705,284.667,284.706,284.685,284.72,284.7,284.706,284.702,284.68,284.68,284.697,284.715,284.698,284.702,284.703,284.702,284.724,284.683,284.714,284.783,284.737,284.719,284.743,284.742,284.742,284.729,284.752,284.745
284.696,284.699,284.675,284.67,284.7,284.626,284.694,284.694,284.698,284.71,284.704,284.705,284.685,284.698,284.671,284.709,284.713,284.715,284.712,284.706,284.719,284.601,284.697,284.715,284.736,284.731,284.724,284.749,284.711,284.742,284.739,284.764,284.748,284.753,284.746,284.726,284.724,284.739,284.761,284.74,284.747,284.744,284.745,284.766,284.731,284.76,284.823,284.781,284.765,284.788,284.786,284.784,284.776,284.801,284.789
284.738,284.738,284.719,284.709,284.743,284.674,284.74,284.736,284.74,284.751,284.742,284.749,284.732,284.742,284.712,284.751,284.758,284.757,284.755,284.751,284.755,284.638,284.741,284.759,284.775,284.774,284.766,284.79,284.754,284.779,284.793,284.807,284.797,284.799,284.795,284.77,284.767,284.782,284.8,284.785,284.792,284.788,284.8,284.81,284.779,284.804,284.86,284.824,284.813,284.831,284.83,284.829,284.824,284.845,284.831
284.781,284.781,284.762,284.748,284.784,284.726,284.786,284.778,284.783,284.789,284.782,284.792,284.776,284.786,284.757,284.792,284.805,284.798,284.801,284.801,284.79,284.683,284.786,284.802,284.818,284.815,284.81,284.832,284.796,284.815,284.851,284.851,284.842,284.843,284.842,284.816,284.809,284.826,284.833,284.831,284.838,284.831,284.852,284.854,284.826,284.855,284.896,284.867,284.859,284.874,284.875,284.874,284.873,284.889,284.864
284.824,284.822,284.807,284.792,284.824,284.782,284.83,284.823,284.83,284.829,284.823,284.833,284.821,284.832,284.808,284.835,284.851,284.841,284.846,284.85,284.827,284.738,284.829,284.845,284.86,284.858,284.857,284.872,284.843,284.854,284.907,284.897,284.887,284.888,284.889,284.865,284.852,284.874,284.864,284.883,284.884,284.879,284.907,284.901,284.875,284.907,284.934,284.911,284.906,284.92,284.921,284.919,284.919,284.93,284.91
284.867,284.864,284.851,284.837,284.864,284.838,284.875,284.864,284.874,284.869,284.866,284.875,284.865,284.876,284.855,284.878,284.902,284.881,284.889,284.898,284.87,284.798,284.868,284.892,284.905,284.901,284.906,284.916,284.893,284.894,284.969,284.944,284.934,284.939,284.933,284.91,284.901,284.918,284.897,284.935,284.933,284.925,284.955,284.949,284.921,284.959,284.972,284.955,284.954,284.965,284.966,284.963,284.972,284.969,284.96
284.91,284.908,284.895,284.883,284.909,284.896,284.92,284.905,284.914,284.911,284.91,284.914,284.91,284.918,284.898,284.923,284.948,284.92,284.934,284.943,284.914,284.863,284.908,284.941,284.95,284.949,284.953,284.96,284.94,284.935,285.025,284.991,284.984,284.984,284.978,284.958,284.955,284.963,284.925,284.987,284.984,284.975,285.005,284.996,284.969,285.011,285.01,285.001,285.005,285.013,285.011,285.006,285.022,285.011,285.009
284.951,284.952,284.939,284.929,284.954,284.95,284.967,284.947,284.959,284.955,284.956,284.957,284.959,284.96,284.939,284.97,284.992,284.962,284.98,284.989,284.96,284.93,284.948,284.985,284.995,284.993,285.002,285.003,284.989,284.979,285.083,285.038,285.031,285.026,285.024,285.004,285.014,285.015,284.955,285.037,285.036,285.019,285.058,285.043,285.014,285.063,285.049,285.047,285.057,285.065,285.063,285.056,285.076,285.055,285.061
284.997,285.002,284.987,284.977,285.002,285.005,285.016,284.994,285.004,285.002,285.001,285.005,285.009,285,284.982,285.018,285.038,285.008,285.025,285.033,285.006,284.997,284.994,285.029,285.038,285.039,285.051,285.045,285.04,285.029,285.142,285.089,285.079,285.077,285.072,285.055,285.072,285.069,284.989,285.092,285.088,285.066,285.111,285.09,285.058,285.115,285.088,285.098,285.109,285.118,285.109,285.11,285.126,285.102,285.12
285.045,285.053,285.034,285.023,285.047,285.057,285.063,285.039,285.049,285.045,285.048,285.045,285.055,285.046,285.027,285.063,285.084,285.055,285.071,285.081,285.051,285.063,285.046,285.076,285.084,285.085,285.104,285.096,285.091,285.078,285.2,285.14,285.128,285.128,285.119,285.111,285.125,285.123,285.025,285.143,285.139,285.114,285.159,285.135,285.101,285.161,285.119,285.153,285.16,285.174,285.162,285.168,285.178,285.151,285.179
